instruction,expected_output
Can we normalize all IfcRamp properties at the near stairwell to follow standard naming and use m?,"{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""normalize"", ""target_properties"": {""location"": ""near stairwell"", ""unit"": ""m"", ""zone"": ""C"", ""storey"": ""first"", ""usage_context"": ""commercial"", ""property_names"": ""standardized""}, ""unit"": ""m""}], ""update_scope"": ""contextual""}"
"Can we normalize all IfcStairFlight properties at the third floor, corridor A to follow standard naming and use standard size?","{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""normalize"", ""target_properties"": {""location"": ""third floor, corridor A"", ""unit"": ""standard size"", ""zone"": ""A"", ""storey"": ""second"", ""usage_context"": ""service"", ""property_names"": ""standardized""}, ""unit"": ""standard size""}], ""update_scope"": ""contextual""}"
Can we normalize all IfcStairFlight properties at the near stairwell to follow standard naming and use inches?,"{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""normalize"", ""target_properties"": {""location"": ""near stairwell"", ""unit"": ""inches"", ""zone"": ""A"", ""storey"": ""second"", ""usage_context"": ""service"", ""property_names"": ""standardized""}, ""unit"": ""inches""}], ""update_scope"": ""contextual""}"
"Would it be possible to update the IfcRamp near third floor, corridor A to have frame_type set to PVC?","{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""modify"", ""target_properties"": {""location"": ""third floor, corridor A"", ""unit"": ""standard size"", ""zone"": ""B"", ""storey"": ""third"", ""usage_context"": ""residential"", ""frame_type"": ""PVC""}, ""unit"": ""standard size""}], ""update_scope"": ""contextual""}"
Can we normalize all IfcStairFlight properties at the behind elevator shaft to follow standard naming and use cm?,"{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""normalize"", ""target_properties"": {""location"": ""behind elevator shaft"", ""unit"": ""cm"", ""zone"": ""A"", ""storey"": ""third"", ""usage_context"": ""service"", ""property_names"": ""standardized""}, ""unit"": ""cm""}], ""update_scope"": ""contextual""}"
Please remove all IfcRamp elements if not fire-rated from near stairwell.,"{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""remove"", ""target_properties"": {""location"": ""near stairwell"", ""unit"": ""m"", ""zone"": ""B"", ""storey"": ""third"", ""usage_context"": ""commercial"", ""condition"": ""if not fire-rated""}, ""unit"": ""m""}], ""update_scope"": ""contextual""}"
"Could you please add a IfcRamp at the third floor, corridor A with a slope of 6% and length of 4 meters in standard size?","{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""add"", ""target_properties"": {""location"": ""third floor, corridor A"", ""unit"": ""standard size"", ""zone"": ""B"", ""storey"": ""second"", ""usage_context"": ""service"", ""slope"": ""6%"", ""length"": 4}, ""unit"": ""standard size""}], ""update_scope"": ""contextual""}"
Could you please add a IfcRamp at the behind elevator shaft with a slope of 6% and length of 4 meters in cm?,"{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""add"", ""target_properties"": {""location"": ""behind elevator shaft"", ""unit"": ""cm"", ""zone"": ""A"", ""storey"": ""third"", ""usage_context"": ""service"", ""slope"": ""6%"", ""length"": 4}, ""unit"": ""cm""}], ""update_scope"": ""contextual""}"
"Would it be possible to update the IfcStairFlight near third floor, corridor A to have frame_type set to PVC?","{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""modify"", ""target_properties"": {""location"": ""third floor, corridor A"", ""unit"": ""cm"", ""zone"": ""A"", ""storey"": ""third"", ""usage_context"": ""residential"", ""frame_type"": ""PVC""}, ""unit"": ""cm""}], ""update_scope"": ""contextual""}"
"Could you please add a IfcRamp at the third floor, corridor A with a slope of 6% and length of 4 meters in m?","{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""add"", ""target_properties"": {""location"": ""third floor, corridor A"", ""unit"": ""m"", ""zone"": ""C"", ""storey"": ""third"", ""usage_context"": ""service"", ""slope"": ""6%"", ""length"": 4}, ""unit"": ""m""}], ""update_scope"": ""contextual""}"
"Could you please add a IfcStairFlight at the third floor, corridor A with a slope of 6% and length of 4 meters in cm?","{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""add"", ""target_properties"": {""location"": ""third floor, corridor A"", ""unit"": ""cm"", ""zone"": ""A"", ""storey"": ""second"", ""usage_context"": ""service"", ""slope"": ""6%"", ""length"": 4}, ""unit"": ""cm""}], ""update_scope"": ""contextual""}"
Please verify that all IfcStairFlight elements on the west facade meet the cm size requirements.,"{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""verify"", ""target_properties"": {""location"": ""west facade"", ""unit"": ""cm"", ""zone"": ""C"", ""storey"": ""second"", ""usage_context"": ""residential"", ""requirement"": ""cm standard compliance""}, ""unit"": ""cm""}], ""update_scope"": ""contextual""}"
Could you please add a IfcRamp at the near stairwell with a slope of 6% and length of 4 meters in cm?,"{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""add"", ""target_properties"": {""location"": ""near stairwell"", ""unit"": ""cm"", ""zone"": ""C"", ""storey"": ""second"", ""usage_context"": ""service"", ""slope"": ""6%"", ""length"": 4}, ""unit"": ""cm""}], ""update_scope"": ""contextual""}"
Can we normalize all IfcRamp properties at the behind elevator shaft to follow standard naming and use standard size?,"{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""normalize"", ""target_properties"": {""location"": ""behind elevator shaft"", ""unit"": ""standard size"", ""zone"": ""C"", ""storey"": ""second"", ""usage_context"": ""residential"", ""property_names"": ""standardized""}, ""unit"": ""standard size""}], ""update_scope"": ""contextual""}"
"Please verify that all IfcRamp elements on the third floor, corridor A meet the inches size requirements.","{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""verify"", ""target_properties"": {""location"": ""third floor, corridor A"", ""unit"": ""inches"", ""zone"": ""B"", ""storey"": ""first"", ""usage_context"": ""service"", ""requirement"": ""inches standard compliance""}, ""unit"": ""inches""}], ""update_scope"": ""contextual""}"
"Can we normalize all IfcRamp properties at the third floor, corridor A to follow standard naming and use cm?","{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""normalize"", ""target_properties"": {""location"": ""third floor, corridor A"", ""unit"": ""cm"", ""zone"": ""A"", ""storey"": ""second"", ""usage_context"": ""commercial"", ""property_names"": ""standardized""}, ""unit"": ""cm""}], ""update_scope"": ""contextual""}"
"Would it be possible to update the IfcStairFlight near third floor, corridor A to have style set to modern?","{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""modify"", ""target_properties"": {""location"": ""third floor, corridor A"", ""unit"": ""standard size"", ""zone"": ""B"", ""storey"": ""second"", ""usage_context"": ""service"", ""style"": ""modern""}, ""unit"": ""standard size""}], ""update_scope"": ""contextual""}"
Could you please add a IfcStairFlight at the west facade with a slope of 6% and length of 4 meters in inches?,"{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""add"", ""target_properties"": {""location"": ""west facade"", ""unit"": ""inches"", ""zone"": ""B"", ""storey"": ""third"", ""usage_context"": ""service"", ""slope"": ""6%"", ""length"": 4}, ""unit"": ""inches""}], ""update_scope"": ""contextual""}"
Please verify that all IfcStairFlight elements on the near stairwell meet the cm size requirements.,"{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""verify"", ""target_properties"": {""location"": ""near stairwell"", ""unit"": ""cm"", ""zone"": ""A"", ""storey"": ""first"", ""usage_context"": ""residential"", ""requirement"": ""cm standard compliance""}, ""unit"": ""cm""}], ""update_scope"": ""contextual""}"
Please verify that all IfcStairFlight elements on the west facade meet the inches size requirements.,"{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""verify"", ""target_properties"": {""location"": ""west facade"", ""unit"": ""inches"", ""zone"": ""B"", ""storey"": ""second"", ""usage_context"": ""commercial"", ""requirement"": ""inches standard compliance""}, ""unit"": ""inches""}], ""update_scope"": ""contextual""}"
Please verify that all IfcStairFlight elements on the west facade meet the m size requirements.,"{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""verify"", ""target_properties"": {""location"": ""west facade"", ""unit"": ""m"", ""zone"": ""B"", ""storey"": ""second"", ""usage_context"": ""commercial"", ""requirement"": ""m standard compliance""}, ""unit"": ""m""}], ""update_scope"": ""contextual""}"
Would it be possible to update the IfcRamp near behind elevator shaft to have frame_type set to PVC?,"{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""modify"", ""target_properties"": {""location"": ""behind elevator shaft"", ""unit"": ""cm"", ""zone"": ""A"", ""storey"": ""second"", ""usage_context"": ""service"", ""frame_type"": ""PVC""}, ""unit"": ""cm""}], ""update_scope"": ""contextual""}"
Could you please add a IfcRamp at the near stairwell with a slope of 6% and length of 4 meters in inches?,"{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""add"", ""target_properties"": {""location"": ""near stairwell"", ""unit"": ""inches"", ""zone"": ""B"", ""storey"": ""first"", ""usage_context"": ""residential"", ""slope"": ""6%"", ""length"": 4}, ""unit"": ""inches""}], ""update_scope"": ""contextual""}"
"Can we normalize all IfcStairFlight properties at the third floor, corridor A to follow standard naming and use standard size?","{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""normalize"", ""target_properties"": {""location"": ""third floor, corridor A"", ""unit"": ""standard size"", ""zone"": ""A"", ""storey"": ""third"", ""usage_context"": ""residential"", ""property_names"": ""standardized""}, ""unit"": ""standard size""}], ""update_scope"": ""contextual""}"
Please remove all IfcStairFlight elements if a window shorter than 1.2 meters exists from west facade.,"{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""remove"", ""target_properties"": {""location"": ""west facade"", ""unit"": ""m"", ""zone"": ""B"", ""storey"": ""second"", ""usage_context"": ""commercial"", ""condition"": ""if a window shorter than 1.2 meters exists""}, ""unit"": ""m""}], ""update_scope"": ""contextual""}"
Could you please add a IfcStairFlight at the west facade with a slope of 6% and length of 4 meters in standard size?,"{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""add"", ""target_properties"": {""location"": ""west facade"", ""unit"": ""standard size"", ""zone"": ""B"", ""storey"": ""third"", ""usage_context"": ""service"", ""slope"": ""6%"", ""length"": 4}, ""unit"": ""standard size""}], ""update_scope"": ""contextual""}"
Please remove all IfcStairFlight elements if material is wood from behind elevator shaft.,"{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""remove"", ""target_properties"": {""location"": ""behind elevator shaft"", ""unit"": ""standard size"", ""zone"": ""C"", ""storey"": ""second"", ""usage_context"": ""commercial"", ""condition"": ""if material is wood""}, ""unit"": ""standard size""}], ""update_scope"": ""contextual""}"
Can we normalize all IfcRamp properties at the behind elevator shaft to follow standard naming and use inches?,"{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""normalize"", ""target_properties"": {""location"": ""behind elevator shaft"", ""unit"": ""inches"", ""zone"": ""C"", ""storey"": ""first"", ""usage_context"": ""commercial"", ""property_names"": ""standardized""}, ""unit"": ""inches""}], ""update_scope"": ""contextual""}"
"Can we normalize all IfcRamp properties at the third floor, corridor A to follow standard naming and use standard size?","{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""normalize"", ""target_properties"": {""location"": ""third floor, corridor A"", ""unit"": ""standard size"", ""zone"": ""B"", ""storey"": ""second"", ""usage_context"": ""commercial"", ""property_names"": ""standardized""}, ""unit"": ""standard size""}], ""update_scope"": ""contextual""}"
Could you please add a IfcRamp at the west facade with a slope of 6% and length of 4 meters in inches?,"{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""add"", ""target_properties"": {""location"": ""west facade"", ""unit"": ""inches"", ""zone"": ""B"", ""storey"": ""first"", ""usage_context"": ""service"", ""slope"": ""6%"", ""length"": 4}, ""unit"": ""inches""}], ""update_scope"": ""contextual""}"
"Could you please add a IfcStairFlight at the third floor, corridor A with a slope of 6% and length of 4 meters in cm?","{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""add"", ""target_properties"": {""location"": ""third floor, corridor A"", ""unit"": ""cm"", ""zone"": ""C"", ""storey"": ""third"", ""usage_context"": ""commercial"", ""slope"": ""6%"", ""length"": 4}, ""unit"": ""cm""}], ""update_scope"": ""contextual""}"
Can we normalize all IfcRamp properties at the behind elevator shaft to follow standard naming and use cm?,"{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""normalize"", ""target_properties"": {""location"": ""behind elevator shaft"", ""unit"": ""cm"", ""zone"": ""B"", ""storey"": ""second"", ""usage_context"": ""service"", ""property_names"": ""standardized""}, ""unit"": ""cm""}], ""update_scope"": ""contextual""}"
"Could you please add a IfcStairFlight at the third floor, corridor A with a slope of 6% and length of 4 meters in standard size?","{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""add"", ""target_properties"": {""location"": ""third floor, corridor A"", ""unit"": ""standard size"", ""zone"": ""C"", ""storey"": ""first"", ""usage_context"": ""residential"", ""slope"": ""6%"", ""length"": 4}, ""unit"": ""standard size""}], ""update_scope"": ""contextual""}"
Would it be possible to update the IfcStairFlight near near stairwell to have frame_type set to PVC?,"{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""modify"", ""target_properties"": {""location"": ""near stairwell"", ""unit"": ""standard size"", ""zone"": ""C"", ""storey"": ""second"", ""usage_context"": ""service"", ""frame_type"": ""PVC""}, ""unit"": ""standard size""}], ""update_scope"": ""contextual""}"
Could you please add a IfcStairFlight at the behind elevator shaft with a slope of 6% and length of 4 meters in standard size?,"{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""add"", ""target_properties"": {""location"": ""behind elevator shaft"", ""unit"": ""standard size"", ""zone"": ""C"", ""storey"": ""first"", ""usage_context"": ""commercial"", ""slope"": ""6%"", ""length"": 4}, ""unit"": ""standard size""}], ""update_scope"": ""contextual""}"
Can we normalize all IfcStairFlight properties at the near stairwell to follow standard naming and use cm?,"{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""normalize"", ""target_properties"": {""location"": ""near stairwell"", ""unit"": ""cm"", ""zone"": ""A"", ""storey"": ""first"", ""usage_context"": ""residential"", ""property_names"": ""standardized""}, ""unit"": ""cm""}], ""update_scope"": ""contextual""}"
Can we normalize all IfcStairFlight properties at the near stairwell to follow standard naming and use cm?,"{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""normalize"", ""target_properties"": {""location"": ""near stairwell"", ""unit"": ""cm"", ""zone"": ""C"", ""storey"": ""third"", ""usage_context"": ""residential"", ""property_names"": ""standardized""}, ""unit"": ""cm""}], ""update_scope"": ""contextual""}"
"Please verify that all IfcStairFlight elements on the third floor, corridor A meet the standard size size requirements.","{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""verify"", ""target_properties"": {""location"": ""third floor, corridor A"", ""unit"": ""standard size"", ""zone"": ""A"", ""storey"": ""first"", ""usage_context"": ""residential"", ""requirement"": ""standard size standard compliance""}, ""unit"": ""standard size""}], ""update_scope"": ""contextual""}"
Could you please add a IfcStairFlight at the near stairwell with a slope of 6% and length of 4 meters in cm?,"{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""add"", ""target_properties"": {""location"": ""near stairwell"", ""unit"": ""cm"", ""zone"": ""B"", ""storey"": ""second"", ""usage_context"": ""service"", ""slope"": ""6%"", ""length"": 4}, ""unit"": ""cm""}], ""update_scope"": ""contextual""}"
"Please remove all IfcRamp elements if a window shorter than 1.2 meters exists from third floor, corridor A.","{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""remove"", ""target_properties"": {""location"": ""third floor, corridor A"", ""unit"": ""inches"", ""zone"": ""A"", ""storey"": ""third"", ""usage_context"": ""commercial"", ""condition"": ""if a window shorter than 1.2 meters exists""}, ""unit"": ""inches""}], ""update_scope"": ""contextual""}"
Can we normalize all IfcRamp properties at the behind elevator shaft to follow standard naming and use inches?,"{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""normalize"", ""target_properties"": {""location"": ""behind elevator shaft"", ""unit"": ""inches"", ""zone"": ""A"", ""storey"": ""first"", ""usage_context"": ""residential"", ""property_names"": ""standardized""}, ""unit"": ""inches""}], ""update_scope"": ""contextual""}"
Can we normalize all IfcRamp properties at the behind elevator shaft to follow standard naming and use m?,"{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""normalize"", ""target_properties"": {""location"": ""behind elevator shaft"", ""unit"": ""m"", ""zone"": ""A"", ""storey"": ""third"", ""usage_context"": ""residential"", ""property_names"": ""standardized""}, ""unit"": ""m""}], ""update_scope"": ""contextual""}"
"Could you please add a IfcRamp at the third floor, corridor A with a slope of 6% and length of 4 meters in cm?","{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""add"", ""target_properties"": {""location"": ""third floor, corridor A"", ""unit"": ""cm"", ""zone"": ""B"", ""storey"": ""third"", ""usage_context"": ""residential"", ""slope"": ""6%"", ""length"": 4}, ""unit"": ""cm""}], ""update_scope"": ""contextual""}"
Please verify that all IfcStairFlight elements on the west facade meet the inches size requirements.,"{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""verify"", ""target_properties"": {""location"": ""west facade"", ""unit"": ""inches"", ""zone"": ""A"", ""storey"": ""second"", ""usage_context"": ""commercial"", ""requirement"": ""inches standard compliance""}, ""unit"": ""inches""}], ""update_scope"": ""contextual""}"
"Could you please add a IfcStairFlight at the third floor, corridor A with a slope of 6% and length of 4 meters in standard size?","{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""add"", ""target_properties"": {""location"": ""third floor, corridor A"", ""unit"": ""standard size"", ""zone"": ""A"", ""storey"": ""third"", ""usage_context"": ""commercial"", ""slope"": ""6%"", ""length"": 4}, ""unit"": ""standard size""}], ""update_scope"": ""contextual""}"
Please verify that all IfcRamp elements on the behind elevator shaft meet the cm size requirements.,"{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""verify"", ""target_properties"": {""location"": ""behind elevator shaft"", ""unit"": ""cm"", ""zone"": ""C"", ""storey"": ""third"", ""usage_context"": ""residential"", ""requirement"": ""cm standard compliance""}, ""unit"": ""cm""}], ""update_scope"": ""contextual""}"
Please verify that all IfcStairFlight elements on the behind elevator shaft meet the standard size size requirements.,"{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""verify"", ""target_properties"": {""location"": ""behind elevator shaft"", ""unit"": ""standard size"", ""zone"": ""C"", ""storey"": ""second"", ""usage_context"": ""residential"", ""requirement"": ""standard size standard compliance""}, ""unit"": ""standard size""}], ""update_scope"": ""contextual""}"
Would it be possible to update the IfcRamp near behind elevator shaft to have frame_type set to PVC?,"{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""modify"", ""target_properties"": {""location"": ""behind elevator shaft"", ""unit"": ""inches"", ""zone"": ""C"", ""storey"": ""first"", ""usage_context"": ""commercial"", ""frame_type"": ""PVC""}, ""unit"": ""inches""}], ""update_scope"": ""contextual""}"
"Please verify that all IfcRamp elements on the third floor, corridor A meet the cm size requirements.","{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""verify"", ""target_properties"": {""location"": ""third floor, corridor A"", ""unit"": ""cm"", ""zone"": ""C"", ""storey"": ""first"", ""usage_context"": ""residential"", ""requirement"": ""cm standard compliance""}, ""unit"": ""cm""}], ""update_scope"": ""contextual""}"
"Would it be possible to update the IfcRamp near third floor, corridor A to have glass_type set to laminated?","{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""modify"", ""target_properties"": {""location"": ""third floor, corridor A"", ""unit"": ""inches"", ""zone"": ""B"", ""storey"": ""third"", ""usage_context"": ""service"", ""glass_type"": ""laminated""}, ""unit"": ""inches""}], ""update_scope"": ""contextual""}"
"Would it be possible to update the IfcStairFlight near third floor, corridor A to have color set to white?","{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""modify"", ""target_properties"": {""location"": ""third floor, corridor A"", ""unit"": ""standard size"", ""zone"": ""A"", ""storey"": ""first"", ""usage_context"": ""commercial"", ""color"": ""white""}, ""unit"": ""standard size""}], ""update_scope"": ""contextual""}"
Would it be possible to update the IfcRamp near west facade to have material set to steel?,"{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""modify"", ""target_properties"": {""location"": ""west facade"", ""unit"": ""inches"", ""zone"": ""B"", ""storey"": ""first"", ""usage_context"": ""commercial"", ""material"": ""steel""}, ""unit"": ""inches""}], ""update_scope"": ""contextual""}"
Please verify that all IfcRamp elements on the west facade meet the m size requirements.,"{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""verify"", ""target_properties"": {""location"": ""west facade"", ""unit"": ""m"", ""zone"": ""C"", ""storey"": ""third"", ""usage_context"": ""residential"", ""requirement"": ""m standard compliance""}, ""unit"": ""m""}], ""update_scope"": ""contextual""}"
Could you please add a IfcStairFlight at the west facade with a slope of 6% and length of 4 meters in standard size?,"{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""add"", ""target_properties"": {""location"": ""west facade"", ""unit"": ""standard size"", ""zone"": ""C"", ""storey"": ""first"", ""usage_context"": ""service"", ""slope"": ""6%"", ""length"": 4}, ""unit"": ""standard size""}], ""update_scope"": ""contextual""}"
Could you please add a IfcRamp at the west facade with a slope of 6% and length of 4 meters in cm?,"{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""add"", ""target_properties"": {""location"": ""west facade"", ""unit"": ""cm"", ""zone"": ""A"", ""storey"": ""second"", ""usage_context"": ""service"", ""slope"": ""6%"", ""length"": 4}, ""unit"": ""cm""}], ""update_scope"": ""contextual""}"
Please normalize all IfcStairFlight dimensions to be in standard size units and standardize material names.,"{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""normalize"", ""target_properties"": {""units"": ""standard size"", ""material_names"": ""standardized""}}]}"
Please add a new IfcStairFlight near the near stairwell with glass_type set to double glazed.,"{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""add"", ""target_properties"": {""location"": ""near stairwell"", ""glass_type"": ""double glazed""}, ""unit"": ""cm""}], ""update_scope"": ""local""}"
Can we verify that all IfcRamp elements on the behind elevator shaft have sound insulation class set to B?,"{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""verify"", ""target_properties"": {""location"": ""behind elevator shaft"", ""sound_insulation"": ""Class B""}}]}"
Can we verify that all IfcStairFlight elements on the near stairwell have sound insulation class set to B?,"{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""verify"", ""target_properties"": {""location"": ""near stairwell"", ""sound_insulation"": ""Class B""}}]}"
Can we verify that all IfcRamp elements on the west facade have sound insulation class set to B?,"{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""verify"", ""target_properties"": {""location"": ""west facade"", ""sound_insulation"": ""Class B""}}]}"
Could you remove all IfcStairFlight elements located behind the elevator shaft with outdated style?,"{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""remove"", ""target_properties"": {""location"": ""behind elevator shaft"", ""style"": ""outdated""}}]}"
Could you remove all IfcStairFlight elements located behind the elevator shaft with outdated style?,"{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""remove"", ""target_properties"": {""location"": ""behind elevator shaft"", ""style"": ""outdated""}}]}"
Please normalize all IfcRamp dimensions to be in inches units and standardize material names.,"{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""normalize"", ""target_properties"": {""units"": ""inches"", ""material_names"": ""standardized""}}]}"
Would it be possible to update the glass_type of all IfcStairFlight instances on west facade to double glazed?,"{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""modify"", ""target_properties"": {""location"": ""west facade"", ""glass_type"": ""double glazed""}, ""unit"": ""inches""}]}"
"Please add a new IfcRamp near the third floor, corridor A with glass_type set to double glazed.","{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""add"", ""target_properties"": {""location"": ""third floor, corridor A"", ""glass_type"": ""double glazed""}, ""unit"": ""cm""}], ""update_scope"": ""local""}"
Please normalize all IfcStairFlight dimensions to be in m units and standardize material names.,"{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""normalize"", ""target_properties"": {""units"": ""m"", ""material_names"": ""standardized""}}]}"
Please normalize all IfcStairFlight dimensions to be in inches units and standardize material names.,"{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""normalize"", ""target_properties"": {""units"": ""inches"", ""material_names"": ""standardized""}}]}"
Please normalize all IfcStairFlight dimensions to be in standard size units and standardize material names.,"{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""normalize"", ""target_properties"": {""units"": ""standard size"", ""material_names"": ""standardized""}}]}"
Could you remove all IfcRamp elements located behind the elevator shaft with outdated style?,"{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""remove"", ""target_properties"": {""location"": ""behind elevator shaft"", ""style"": ""outdated""}}]}"
Please normalize all IfcRamp dimensions to be in standard size units and standardize material names.,"{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""normalize"", ""target_properties"": {""units"": ""standard size"", ""material_names"": ""standardized""}}]}"
Would it be possible to update the style of all IfcStairFlight instances on west facade to modern?,"{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""modify"", ""target_properties"": {""location"": ""west facade"", ""style"": ""modern""}, ""unit"": ""inches""}]}"
Could you remove all IfcRamp elements located behind the elevator shaft with outdated style?,"{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""remove"", ""target_properties"": {""location"": ""behind elevator shaft"", ""style"": ""outdated""}}]}"
Please add a new IfcRamp near the west facade with frame_type set to aluminum.,"{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""add"", ""target_properties"": {""location"": ""west facade"", ""frame_type"": ""aluminum""}, ""unit"": ""cm""}], ""update_scope"": ""local""}"
Please normalize all IfcStairFlight dimensions to be in m units and standardize material names.,"{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""normalize"", ""target_properties"": {""units"": ""m"", ""material_names"": ""standardized""}}]}"
Can we verify that all IfcStairFlight elements on the west facade have sound insulation class set to B?,"{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""verify"", ""target_properties"": {""location"": ""west facade"", ""sound_insulation"": ""Class B""}}]}"
Could you remove all IfcRamp elements located behind the elevator shaft with outdated style?,"{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""remove"", ""target_properties"": {""location"": ""behind elevator shaft"", ""style"": ""outdated""}}]}"
Can we verify that all IfcRamp elements on the behind elevator shaft have sound insulation class set to B?,"{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""verify"", ""target_properties"": {""location"": ""behind elevator shaft"", ""sound_insulation"": ""Class B""}}]}"
Can we verify that all IfcStairFlight elements on the behind elevator shaft have sound insulation class set to B?,"{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""verify"", ""target_properties"": {""location"": ""behind elevator shaft"", ""sound_insulation"": ""Class B""}}]}"
Please normalize all IfcRamp dimensions to be in cm units and standardize material names.,"{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""normalize"", ""target_properties"": {""units"": ""cm"", ""material_names"": ""standardized""}}]}"
Can we verify that all IfcRamp elements on the west facade have sound insulation class set to B?,"{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""verify"", ""target_properties"": {""location"": ""west facade"", ""sound_insulation"": ""Class B""}}]}"
Would it be possible to update the frame_type of all IfcRamp instances on near stairwell to aluminum?,"{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""modify"", ""target_properties"": {""location"": ""near stairwell"", ""frame_type"": ""aluminum""}, ""unit"": ""cm""}]}"
"Can we verify that all IfcStairFlight elements on the third floor, corridor A have sound insulation class set to B?","{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""verify"", ""target_properties"": {""location"": ""third floor, corridor A"", ""sound_insulation"": ""Class B""}}]}"
"Would it be possible to update the fire_rating of all IfcRamp instances on third floor, corridor A to EI60?","{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""modify"", ""target_properties"": {""location"": ""third floor, corridor A"", ""fire_rating"": ""EI60""}, ""unit"": ""m""}]}"
